disease_id,disease,n_cases,signature_herbs,signature_symptoms
Disease_e35f6fd3fd,暑湿食滞,1,佛手片、佩兰叶、冬瓜子、冬瓜皮、前胡、山栀,便闭、大便两日三次、溺赤、积滞不解、胃不开
Disease_b7904a4825,暑热化湿,1,乌梅炭、佩兰叶、扁豆花、桑枝、楂肉、煨香使子肉,头腹微热、溺短少、腹微痛
Disease_b076769f99,暑风伤肝咳血,1,光杏仁、冬桑叶、参三七、川黄草、新会皮、款冬,口腻、咳血、气逆、痰中带血、胃钝
Disease_7d9bd636a9,梅核气,1,代代花、前胡、广郁金、杜兜铃、桔梗、橘红,心跳、胸闷不舒、阻塞咽喉
Disease_c96b82e7bb,气咳,1,光杏仁、前胡、新会皮、桔梗、牛蒡子、瓜蒌皮,咳嗽无痰、溺如米泔、胃纳不健
Disease_2f6ef39af3,气滞湿阻,1,佛手片、地脄蝼、宽膨散、滑石、猪苓、瓜蒌皮,溺不利、腹大、足肿
Disease_4e4dcdd172,气滞胃热挟肝火,1,左金丸、广郁金、枳实、滑石、瓜蒌皮、竹叶,便闭、呵欠、干呕、胸脘烦闷
Disease_e1de8082ca,气虚头汗,1,于术、化龙骨、左牡蛎、淮小麦、淮山药、炙草,便溏、头汗
Disease_217e8da1b6,气逆,1,佛手片、光杏仁、前胡、地蛄蝼、带皮茯苓、新会皮,气逆晕厥、溺热、痰嗳略减、胃钝、面浮
Disease_c88e174519,气逆昏厥,1,光杏仁、厥症返魂丹、广郁金、牛蒡子、瓜蒌仁、石决明,怒则气逆、挟痰上涌、牙关紧闭、陡然昏厥
Disease_ae1be8c041,气逆痰嗽,1,光杏仁、冬桑叶、新会白、新会皮、杜藿梗、枳椇子,两手微痉、发冷、吐清水、咳痰、头痛
Disease_d8fb2f97c7,气郁,1,地骷髅、广郁金、旋覆花、滚痰丸、甘松、腹皮,二便不利
Disease_6499ec23c7,气阻痰喘,1,佛手片、光杏仁、前胡、新会皮、桂枝、桔梗,咳嗽有痰、气急、胃气不健
Disease_a5071ea5a3,水泄,1,仙露夏、光杏仁、化龙骨、北五味、南芡实、夏枯草,吐苦、腹痛
Disease_d7ad6793b4,泻,1,丝瓜络、扁豆衣、新会白、春砂壳、杜藿梗、竹茹,溺短热、热而不畅、肢懈、胃钝恶心
Disease_c241e6c2bc,浮肿,1,佛手片、光杏仁、前胡、地蛄蝼、带皮茯苓、新会皮,气逆晕厥、溺热、痰嗳略减、胃钝、面浮
